FAMILLE;Période;Quantité;Taux de TVA;CA TTC;CA HT
Tabac;6/5/2025;440;0,0%;6 147,30 €;6 147,30 €
Timbres poste;6/5/2025;10;0,0%;44,48 €;44,48 €
 paiement proximite;7/5/2025;1;0,0%;35,00 €;35,00 €
Accessoires fumeurs;7/5/2025;9;20,0%;42,60 €;35,49 €
Articles Divers Logista 20%;7/5/2025;16;20,0%;94,50 €;78,76 €
Bar 10%;7/5/2025;165;10,0%;250,90 €;227,92 €
Bar 20%;7/5/2025;161;20,0%;409,20 €;340,98 €
Boissons à emporter;7/5/2025;4;5,5%;9,00 €;8,53 €
Briquets;7/5/2025;1;20,0%;2,00 €;1,67 €
Chewing Gum;7/5/2025;2;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;7/5/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;7/5/2025;7;5,5%;13,40 €;12,70 €
Jeux instantanés;7/5/2025;450;0,0%;1 988,00 €;1 988,00 €
Loto;7/5/2025;77;0,0%;681,00 €;681,00 €
MONETIQUE 0 %;7/5/2025;6;0,0%;200,00 €;200,00 €
Papier tubes et filtres;7/5/2025;57;20,0%;101,30 €;84,45 €
Tabac;7/5/2025;422;0,0%;5 893,40 €;5 893,40 €
TELEPHONIE 20.00 %;7/5/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;7/5/2025;2;0,0%;33,36 €;33,36 €
Accessoires fumeurs;8/5/2025;2;20,0%;4,50 €;3,75 €
Bar 10%;8/5/2025;215;10,0%;364,30 €;331,02 €
Bar 20%;8/5/2025;235;20,0%;614,90 €;512,39 €
Boissons à emporter;8/5/2025;10;5,5%;25,00 €;23,70 €
Briquets;8/5/2025;7;20,0%;12,20 €;10,19 €
Chewing Gum;8/5/2025;2;20,0%;2,80 €;2,33 €
Confiserie 20%;8/5/2025;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;8/5/2025;7;5,5%;11,70 €;11,11 €
Jeux instantanés;8/5/2025;350;0,0%;1 536,00 €;1 536,00 €
Loto;8/5/2025;104;0,0%;739,10 €;739,10 €
Papier tubes et filtres;8/5/2025;31;20,0%;60,70 €;50,62 €
Tabac;8/5/2025;297;0,0%;3 816,65 €;3 816,65 €
TELEPHONIE 20.00 %;8/5/2025;1;20,0%;19,99 €;16,66 €
Accessoires fumeurs;9/5/2025;18;20,0%;44,10 €;36,78 €
Articles Divers Logista 20%;9/5/2025;4;20,0%;36,00 €;30,00 €
Bar 10%;9/5/2025;212;10,0%;328,20 €;298,20 €
Bar 20%;9/5/2025;170;20,0%;403,00 €;335,81 €
Briquets;9/5/2025;4;20,0%;7,70 €;6,43 €
Chewing Gum;9/5/2025;2;20,0%;2,80 €;2,33 €
Confiserie 20%;9/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;9/5/2025;4;5,5%;2,00 €;1,90 €
Jeux instantanés;9/5/2025;367;0,0%;1 590,00 €;1 590,00 €
Loto;9/5/2025;118;0,0%;1 014,80 €;1 014,80 €
MONETIQUE 0 %;9/5/2025;15;0,0%;752,00 €;752,00 €
Papier tubes et filtres;9/5/2025;63;20,0%;112,70 €;93,96 €
Tabac;9/5/2025;477;0,0%;6 605,00 €;6 605,00 €
TELEPHONIE 20.00 %;9/5/2025;2;20,0%;10,00 €;8,34 €
Timbres poste;9/5/2025;1;0,0%;1,39 €;1,39 €
Accessoires fumeurs;10/5/2025;11;20,0%;29,00 €;24,18 €
Articles Divers Logista 20%;10/5/2025;11;20,0%;94,50 €;78,75 €
Bar 10%;10/5/2025;118;10,0%;190,80 €;173,33 €
Bar 20%;10/5/2025;176;20,0%;433,80 €;361,46 €
Boissons à emporter;10/5/2025;8;5,5%;19,00 €;18,01 €
Briquets;10/5/2025;4;20,0%;7,10 €;5,93 €
Chewing Gum;10/5/2025;1;20,0%;1,30 €;1,08 €
Confiserie 20%;10/5/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;10/5/2025;9;5,5%;14,90 €;14,13 €
Jeux instantanés;10/5/2025;434;0,0%;1 669,00 €;1 669,00 €
Loto;10/5/2025;103;0,0%;1 224,00 €;1 224,00 €
MONETIQUE 0 %;10/5/2025;2;0,0%;60,00 €;60,00 €
Papier tubes et filtres;10/5/2025;38;20,0%;69,50 €;57,92 €
Tabac;10/5/2025;460;0,0%;6 528,10 €;6 528,10 €
Timbres poste;10/5/2025;5;0,0%;6,95 €;6,95 €
Accessoires fumeurs;11/5/2025;7;20,0%;21,00 €;17,50 €
Articles Divers Logista 20%;11/5/2025;7;20,0%;57,00 €;47,50 €
Bar 10%;11/5/2025;128;10,0%;198,60 €;180,40 €
Bar 20%;11/5/2025;216;20,0%;513,70 €;428,15 €
Boissons à emporter;11/5/2025;13;5,5%;32,50 €;30,81 €
Chewing Gum;11/5/2025;4;20,0%;10,50 €;8,75 €
Confiserie 20%;11/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;11/5/2025;11;5,5%;21,60 €;20,46 €
Jeux instantanés;11/5/2025;349;0,0%;1 274,00 €;1 274,00 €
Loto;11/5/2025;91;0,0%;1 288,00 €;1 288,00 €
MONETIQUE 0 %;11/5/2025;4;0,0%;235,00 €;235,00 €
Papier tubes et filtres;11/5/2025;29;20,0%;69,00 €;57,51 €
Tabac;11/5/2025;245;0,0%;3 234,50 €;3 234,50 €
 paiement proximite;12/5/2025;2;0,0%;690,00 €;690,00 €
Accessoires fumeurs;12/5/2025;15;20,0%;45,60 €;38,00 €
Articles Divers Logista 20%;12/5/2025;7;20,0%;73,00 €;60,83 €
Articles Divers Logista 5,5%;12/5/2025;1;5,5%;9,90 €;9,38 €
Bar 10%;12/5/2025;176;10,0%;282,00 €;256,19 €
Bar 20%;12/5/2025;157;20,0%;441,70 €;368,11 €
Briquets;12/5/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;12/5/2025;4;20,0%;9,00 €;7,50 €
Confiserie 5,5%;12/5/2025;2;5,5%;3,40 €;3,22 €
Jeux instantanés;12/5/2025;282;0,0%;991,00 €;991,00 €
Loto;12/5/2025;77;0,0%;894,80 €;894,80 €
MONETIQUE 0 %;12/5/2025;2;0,0%;140,00 €;140,00 €
Papier tubes et filtres;12/5/2025;47;20,0%;86,40 €;72,05 €
Tabac;12/5/2025;384;0,0%;5 265,90 €;5 265,90 €
Timbres poste;12/5/2025;3;0,0%;4,17 €;4,17 €
Accessoires fumeurs;13/5/2025;9;20,0%;21,10 €;17,58 €
Articles Divers Logista 20%;13/5/2025;18;20,0%;140,50 €;117,08 €
Bar 10%;13/5/2025;155;10,0%;254,10 €;230,87 €
Bar 20%;13/5/2025;187;20,0%;532,90 €;444,15 €
Boissons à emporter;13/5/2025;1;5,5%;1,50 €;1,42 €
Briquets;13/5/2025;5;20,0%;8,50 €;7,10 €
Chewing Gum;13/5/2025;2;20,0%;4,30 €;3,58 €
Confiserie 20%;13/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;13/5/2025;6;5,5%;9,20 €;8,72 €
Jeux instantanés;13/5/2025;291;0,0%;1 216,00 €;1 216,00 €
Loto;13/5/2025;82;0,0%;993,10 €;993,10 €
MONETIQUE 0 %;13/5/2025;2;0,0%;161,00 €;161,00 €
Papier tubes et filtres;13/5/2025;50;20,0%;91,70 €;76,41 €
Tabac;13/5/2025;369;0,0%;5 195,30 €;5 195,30 €
TELEPHONIE 20.00 %;13/5/2025;1;20,0%;9,99 €;8,33 €
Accessoires fumeurs;14/5/2025;5;20,0%;28,60 €;23,83 €
Articles Divers Logista 20%;14/5/2025;5;20,0%;60,50 €;50,41 €
Bar 10%;14/5/2025;147;10,0%;219,20 €;199,11 €
Bar 20%;14/5/2025;180;20,0%;427,90 €;356,64 €
Boissons à emporter;14/5/2025;2;5,5%;5,00 €;4,74 €
Briquets;14/5/2025;1;20,0%;2,00 €;1,67 €
Chewing Gum;14/5/2025;7;20,0%;12,90 €;10,74 €
Confiserie 20%;14/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;14/5/2025;5;5,5%;10,70 €;10,13 €
Jeux instantanés;14/5/2025;364;0,0%;1 277,00 €;1 277,00 €
Loto;14/5/2025;67;0,0%;565,90 €;565,90 €
MONETIQUE 0 %;14/5/2025;1;0,0%;250,00 €;250,00 €
Papier tubes et filtres;14/5/2025;58;20,0%;102,20 €;85,20 €
Tabac;14/5/2025;328;0,0%;4 457,05 €;4 457,05 €
Timbres poste;14/5/2025;4;0,0%;20,85 €;20,85 €
Accessoires fumeurs;15/5/2025;8;20,0%;22,50 €;18,75 €
Articles Divers Logista 20%;15/5/2025;7;20,0%;74,00 €;61,66 €
Bar 10%;15/5/2025;160;10,0%;254,80 €;231,46 €
Bar 20%;15/5/2025;239;20,0%;670,50 €;558,78 €
Boissons à emporter;15/5/2025;7;5,5%;17,50 €;16,59 €
Briquets;15/5/2025;6;20,0%;10,50 €;8,77 €
Chewing Gum;15/5/2025;1;20,0%;1,30 €;1,08 €
Confiserie 20%;15/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;15/5/2025;2;5,5%;3,70 €;3,51 €
Jeux instantanés;15/5/2025;342;0,0%;1 427,00 €;1 427,00 €
Loto;15/5/2025;68;0,0%;602,80 €;602,80 €
MONETIQUE 0 %;15/5/2025;5;0,0%;666,00 €;666,00 €
Papier tubes et filtres;15/5/2025;26;20,0%;46,30 €;38,60 €
Tabac;15/5/2025;331;0,0%;4 441,95 €;4 441,95 €
Timbres poste;15/5/2025;1;0,0%;16,68 €;16,68 €
 paiement proximite;16/5/2025;1;0,0%;60,00 €;60,00 €
Accessoires fumeurs;16/5/2025;7;20,0%;18,40 €;15,34 €
Articles Divers Logista 20%;16/5/2025;16;20,0%;144,00 €;120,00 €
Bar 10%;16/5/2025;176;10,0%;284,50 €;258,47 €
Bar 20%;16/5/2025;208;20,0%;551,10 €;459,25 €
Boissons à emporter;16/5/2025;10;5,5%;24,00 €;22,75 €
Briquets;16/5/2025;6;20,0%;10,80 €;9,02 €
Chewing Gum;16/5/2025;4;20,0%;6,00 €;5,00 €
Cigarettes Electroniques;16/5/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;16/5/2025;4;5,5%;6,50 €;6,17 €
Jeux instantanés;16/5/2025;412;0,0%;1 826,00 €;1 826,00 €
Loto;16/5/2025;113;0,0%;1 212,10 €;1 212,10 €
MONETIQUE 0 %;16/5/2025;4;0,0%;155,00 €;155,00 €
Papier tubes et filtres;16/5/2025;62;20,0%;112,00 €;93,34 €
Tabac;16/5/2025;417;0,0%;5 497,20 €;5 497,20 €
Timbres poste;16/5/2025;5;0,0%;22,24 €;22,24 €
Accessoires fumeurs;17/5/2025;9;20,0%;26,30 €;21,89 €
Articles Divers Logista 20%;17/5/2025;5;20,0%;55,00 €;45,83 €
Bar 10%;17/5/2025;177;10,0%;309,40 €;281,12 €
Bar 20%;17/5/2025;182;20,0%;467,00 €;389,18 €
Boissons à emporter;17/5/2025;13;5,5%;30,50 €;28,91 €
Briquets;17/5/2025;7;20,0%;11,90 €;9,94 €
Chewing Gum;17/5/2025;5;20,0%;10,50 €;8,75 €
Confiserie 5,5%;17/5/2025;4;5,5%;6,40 €;6,08 €
Jeux instantanés;17/5/2025;387;0,0%;1 798,00 €;1 798,00 €
Loto;17/5/2025;81;0,0%;1 359,00 €;1 359,00 €
MONETIQUE 0 %;17/5/2025;3;0,0%;101,50 €;101,50 €
Papier tubes et filtres;17/5/2025;44;20,0%;76,60 €;63,87 €
Tabac;17/5/2025;459;0,0%;6 286,75 €;6 286,75 €
Timbres poste;17/5/2025;7;0,0%;9,73 €;9,73 €
Accessoires fumeurs;18/5/2025;1;20,0%;3,00 €;2,50 €
Articles Divers Logista 20%;18/5/2025;8;20,0%;68,50 €;57,08 €
Bar 10%;18/5/2025;212;10,0%;376,50 €;342,15 €
Bar 20%;18/5/2025;228;20,0%;581,40 €;484,56 €
Boissons à emporter;18/5/2025;6;5,5%;14,00 €;13,27 €
Briquets;18/5/2025;7;20,0%;12,50 €;10,44 €
Cigarettes Electroniques;18/5/2025;3;20,0%;14,40 €;12,00 €
Confiserie 20%;18/5/2025;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;18/5/2025;4;5,5%;7,40 €;7,02 €
Jeux instantanés;18/5/2025;337;0,0%;1 467,00 €;1 467,00 €
Loto;18/5/2025;99;0,0%;2 062,70 €;2 062,70 €
MONETIQUE 0 %;18/5/2025;6;0,0%;80,00 €;80,00 €
Papier tubes et filtres;18/5/2025;34;20,0%;60,50 €;50,46 €
Tabac;18/5/2025;253;0,0%;3 442,60 €;3 442,60 €
Timbres poste;18/5/2025;4;0,0%;66,72 €;66,72 €
Accessoires fumeurs;19/5/2025;12;20,0%;33,80 €;28,16 €
Articles Divers Logista 20%;19/5/2025;9;20,0%;91,00 €;75,83 €
Bar 10%;19/5/2025;153;10,0%;237,50 €;215,78 €
Bar 20%;19/5/2025;137;20,0%;514,40 €;428,69 €
Boissons à emporter;19/5/2025;1;5,5%;2,50 €;2,37 €
Briquets;19/5/2025;3;20,0%;6,00 €;5,01 €
Chewing Gum;19/5/2025;1;20,0%;1,50 €;1,25 €
Confiserie 5,5%;19/5/2025;4;5,5%;7,40 €;7,02 €
Jeux instantanés;19/5/2025;321;0,0%;1 480,00 €;1 480,00 €
Loto;19/5/2025;75;0,0%;864,60 €;864,60 €
MONETIQUE 0 %;19/5/2025;2;0,0%;40,00 €;40,00 €
Papier tubes et filtres;19/5/2025;52;20,0%;94,60 €;78,85 €
Tabac;19/5/2025;375;0,0%;5 069,50 €;5 069,50 €
Timbres poste;19/5/2025;4;0,0%;5,56 €;5,56 €
Accessoires fumeurs;20/5/2025;8;20,0%;20,70 €;17,24 €
Articles Divers Logista 20%;20/5/2025;20;20,0%;169,40 €;141,16 €
Bar 10%;20/5/2025;127;10,0%;195,90 €;177,91 €
Bar 20%;20/5/2025;154;20,0%;442,70 €;368,91 €
Boissons à emporter;20/5/2025;3;5,5%;7,50 €;7,11 €
Briquets;20/5/2025;2;20,0%;3,40 €;2,84 €
Chewing Gum;20/5/2025;5;20,0%;13,50 €;11,25 €
Cigarettes Electroniques;20/5/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;20/5/2025;3;20,0%;5,10 €;4,26 €
Jeux instantanés;20/5/2025;317;0,0%;1 293,00 €;1 293,00 €
Loto;20/5/2025;95;0,0%;879,20 €;879,20 €
MONETIQUE 0 %;20/5/2025;2;0,0%;260,00 €;260,00 €
Papier tubes et filtres;20/5/2025;72;20,0%;137,70 €;114,76 €
Tabac;20/5/2025;408;0,0%;5 669,80 €;5 669,80 €
TELEPHONIE 20.00 %;20/5/2025;1;20,0%;20,00 €;16,67 €
Timbres poste;20/5/2025;5;0,0%;22,24 €;22,24 €
Accessoires fumeurs;21/5/2025;5;20,0%;15,40 €;12,84 €
Articles Divers Logista 20%;21/5/2025;19;20,0%;156,00 €;130,00 €
Bar 10%;21/5/2025;143;10,0%;215,30 €;195,57 €
Bar 20%;21/5/2025;220;20,0%;571,80 €;476,49 €
Boissons à emporter;21/5/2025;2;5,5%;5,00 €;4,74 €
Briquets;21/5/2025;3;20,0%;5,40 €;4,51 €
Chewing Gum;21/5/2025;3;20,0%;4,10 €;3,41 €
Cigarettes Electroniques;21/5/2025;4;20,0%;19,20 €;16,00 €
Confiserie 20%;21/5/2025;3;20,0%;5,10 €;4,25 €
Confiserie 5,5%;21/5/2025;1;5,5%;1,70 €;1,61 €
Jeux instantanés;21/5/2025;275;0,0%;1 171,00 €;1 171,00 €
Loto;21/5/2025;81;0,0%;819,60 €;819,60 €
Papier tubes et filtres;21/5/2025;39;20,0%;73,70 €;61,43 €
Tabac;21/5/2025;374;0,0%;5 080,35 €;5 080,35 €
TELEPHONIE 20.00 %;21/5/2025;1;20,0%;9,99 €;8,33 €
Timbres poste;21/5/2025;1;0,0%;16,68 €;16,68 €
Accessoires fumeurs;22/5/2025;8;20,0%;23,80 €;19,83 €
Articles Divers Logista 20%;22/5/2025;6;20,0%;74,00 €;61,66 €
Articles Divers Logista 5,5%;22/5/2025;1;5,5%;1,00 €;0,95 €
Bar 10%;22/5/2025;162;10,0%;244,20 €;221,81 €
Bar 20%;22/5/2025;226;20,0%;572,60 €;477,17 €
Boissons à emporter;22/5/2025;2;5,5%;4,00 €;3,79 €
Briquets;22/5/2025;4;20,0%;7,10 €;5,93 €
Chewing Gum;22/5/2025;3;20,0%;4,50 €;3,75 €
Cigarettes Electroniques;22/5/2025;2;20,0%;9,60 €;8,00 €
Confiserie 5,5%;22/5/2025;7;5,5%;12,20 €;11,57 €
Jeux instantanés;22/5/2025;245;0,0%;881,00 €;881,00 €
Loto;22/5/2025;75;0,0%;782,50 €;782,50 €
MONETIQUE 0 %;22/5/2025;4;0,0%;80,00 €;80,00 €
Papier tubes et filtres;22/5/2025;45;20,0%;84,50 €;70,44 €
Tabac;22/5/2025;321;0,0%;4 335,95 €;4 335,95 €
Accessoires fumeurs;23/5/2025;8;20,0%;22,40 €;18,66 €
Articles Divers Logista 20%;23/5/2025;28;20,0%;271,00 €;225,83 €
Bar 10%;23/5/2025;147;10,0%;272,70 €;247,76 €
Bar 20%;23/5/2025;203;20,0%;637,20 €;530,92 €
Boissons à emporter;23/5/2025;1;5,5%;2,50 €;2,37 €
Briquets;23/5/2025;5;20,0%;9,10 €;7,60 €
Chewing Gum;23/5/2025;1;20,0%;1,50 €;1,25 €
Cigarettes Electroniques;23/5/2025;3;20,0%;14,40 €;12,00 €
Confiserie 5,5%;23/5/2025;2;5,5%;2,10 €;1,99 €
Jeux instantanés;23/5/2025;356;0,0%;1 450,00 €;1 450,00 €
Loto;23/5/2025;108;0,0%;854,00 €;854,00 €
MONETIQUE 0 %;23/5/2025;5;0,0%;120,00 €;120,00 €
Papier tubes et filtres;23/5/2025;48;20,0%;87,60 €;73,03 €
Tabac;23/5/2025;433;0,0%;5 815,50 €;5 815,50 €
 paiement proximite;24/5/2025;1;0,0%;35,00 €;35,00 €
Accessoires fumeurs;24/5/2025;16;20,0%;55,20 €;46,00 €
Articles Divers Logista 20%;24/5/2025;5;20,0%;45,00 €;37,50 €
Bar 10%;24/5/2025;196;10,0%;291,30 €;264,60 €
Bar 20%;24/5/2025;188;20,0%;504,70 €;420,57 €
Boissons à emporter;24/5/2025;4;5,5%;9,00 €;8,53 €
Briquets;24/5/2025;7;20,0%;12,50 €;10,44 €
Chewing Gum;24/5/2025;2;20,0%;3,00 €;2,50 €
Cigarettes Electroniques;24/5/2025;5;20,0%;24,00 €;20,00 €
Confiserie 20%;24/5/2025;3;20,0%;5,10 €;4,26 €
Confiserie 5,5%;24/5/2025;5;5,5%;8,50 €;8,05 €
Jeux instantanés;24/5/2025;383;0,0%;1 514,00 €;1 514,00 €
Loto;24/5/2025;94;0,0%;866,90 €;866,90 €
Papier tubes et filtres;24/5/2025;57;20,0%;103,90 €;86,63 €
Tabac;24/5/2025;412;0,0%;5 648,20 €;5 648,20 €
Accessoires fumeurs;25/5/2025;4;20,0%;11,20 €;9,33 €
Articles Divers Logista 20%;25/5/2025;3;20,0%;19,10 €;15,92 €
Bar 10%;25/5/2025;121;10,0%;211,20 €;191,89 €
Bar 20%;25/5/2025;212;20,0%;529,30 €;441,10 €
Boissons à emporter;25/5/2025;13;5,5%;29,50 €;27,96 €
Briquets;25/5/2025;6;20,0%;10,20 €;8,52 €
Chewing Gum;25/5/2025;2;20,0%;3,00 €;2,50 €
Confiserie 20%;25/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;25/5/2025;3;5,5%;4,80 €;4,56 €
Jeux instantanés;25/5/2025;366;0,0%;1 654,00 €;1 654,00 €
Loto;25/5/2025;83;0,0%;885,50 €;885,50 €
MONETIQUE 0 %;25/5/2025;4;0,0%;80,00 €;80,00 €
Papier tubes et filtres;25/5/2025;23;20,0%;42,30 €;35,26 €
Tabac;25/5/2025;289;0,0%;4 069,20 €;4 069,20 €
Timbres poste;25/5/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;26/5/2025;2;0,0%;164,50 €;164,50 €
Accessoires fumeurs;26/5/2025;2;20,0%;5,60 €;4,66 €
Articles Divers Logista 20%;26/5/2025;3;20,0%;29,00 €;24,16 €
Bar 10%;26/5/2025;154;10,0%;272,80 €;247,88 €
Bar 20%;26/5/2025;206;20,0%;517,30 €;431,12 €
Boissons à emporter;26/5/2025;8;5,5%;20,00 €;18,96 €
Briquets;26/5/2025;13;20,0%;23,90 €;19,95 €
Chewing Gum;26/5/2025;1;20,0%;3,00 €;2,50 €
Confiserie 20%;26/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;26/5/2025;4;5,5%;6,80 €;6,44 €
Jeux instantanés;26/5/2025;215;0,0%;852,00 €;852,00 €
Loto;26/5/2025;80;0,0%;1 040,10 €;1 040,10 €
MONETIQUE 0 %;26/5/2025;1;0,0%;107,00 €;107,00 €
Papier tubes et filtres;26/5/2025;49;20,0%;96,20 €;80,21 €
Tabac;26/5/2025;411;0,0%;5 569,65 €;5 569,65 €
Timbres poste;26/5/2025;1;0,0%;1,39 €;1,39 €
 paiement proximite;27/5/2025;1;0,0%;82,50 €;82,50 €
Accessoires fumeurs;27/5/2025;8;20,0%;22,10 €;18,40 €
Articles Divers Logista 20%;27/5/2025;4;20,0%;37,00 €;30,83 €
Bar 10%;27/5/2025;149;10,0%;265,30 €;241,07 €
Bar 20%;27/5/2025;202;20,0%;517,10 €;431,03 €
Briquets;27/5/2025;6;20,0%;10,50 €;8,77 €
Chewing Gum;27/5/2025;5;20,0%;10,50 €;8,75 €
Cigarettes Electroniques;27/5/2025;3;20,0%;14,40 €;12,00 €
Confiserie 20%;27/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;27/5/2025;4;5,5%;7,10 €;6,73 €
Jeux instantanés;27/5/2025;344;0,0%;1 465,00 €;1 465,00 €
Loto;27/5/2025;128;0,0%;1 285,80 €;1 285,80 €
MONETIQUE 0 %;27/5/2025;4;0,0%;257,00 €;257,00 €
Papier tubes et filtres;27/5/2025;53;20,0%;91,70 €;76,46 €
Tabac;27/5/2025;411;0,0%;5 835,65 €;5 835,65 €
Timbres poste;27/5/2025;15;0,0%;36,14 €;36,14 €
Accessoires fumeurs;28/5/2025;5;20,0%;15,70 €;13,08 €
Articles Divers Logista 20%;28/5/2025;13;20,0%;103,39 €;86,16 €
Bar 10%;28/5/2025;122;10,0%;200,20 €;181,88 €
Bar 20%;28/5/2025;178;20,0%;556,80 €;463,96 €
Boissons à emporter;28/5/2025;6;5,5%;15,00 €;14,22 €
Briquets;28/5/2025;8;20,0%;13,90 €;11,60 €
Chewing Gum;28/5/2025;3;20,0%;4,50 €;3,75 €
Confiserie 20%;28/5/2025;2;20,0%;3,40 €;2,83 €
Confiserie 5,5%;28/5/2025;4;5,5%;6,20 €;5,88 €
Jeux instantanés;28/5/2025;271;0,0%;1 172,00 €;1 172,00 €
Loto;28/5/2025;62;0,0%;623,90 €;623,90 €
MONETIQUE 0 %;28/5/2025;5;0,0%;205,00 €;205,00 €
Papier tubes et filtres;28/5/2025;58;20,0%;105,90 €;88,30 €
Tabac;28/5/2025;479;0,0%;6 696,00 €;6 696,00 €
TELEPHONIE 20.00 %;28/5/2025;1;20,0%;14,99 €;12,49 €
Timbres poste;28/5/2025;2;0,0%;18,07 €;18,07 €
Accessoires fumeurs;29/5/2025;10;20,0%;31,90 €;26,58 €
Articles Divers Logista 20%;29/5/2025;3;20,0%;33,50 €;27,91 €
Bar 10%;29/5/2025;159;10,0%;256,30 €;232,86 €
Bar 20%;29/5/2025;232;20,0%;767,80 €;639,85 €
Boissons à emporter;29/5/2025;11;5,5%;24,50 €;23,22 €
Briquets;29/5/2025;8;20,0%;14,80 €;12,36 €
Chewing Gum;29/5/2025;4;20,0%;7,50 €;6,25 €
Cigarettes Electroniques;29/5/2025;1;20,0%;4,80 €;4,00 €
Confiserie 20%;29/5/2025;2;20,0%;3,00 €;2,50 €
Confiserie 5,5%;29/5/2025;9;5,5%;13,80 €;13,09 €
Jeux instantanés;29/5/2025;247;0,0%;1 120,00 €;1 120,00 €
Loto;29/5/2025;71;0,0%;623,40 €;623,40 €
MONETIQUE 0 %;29/5/2025;2;0,0%;70,00 €;70,00 €
Papier tubes et filtres;29/5/2025;33;20,0%;58,40 €;48,71 €
Tabac;29/5/2025;336;0,0%;4 601,25 €;4 601,25 €
 paiement proximite;30/5/2025;3;0,0%;187,53 €;187,53 €
Accessoires fumeurs;30/5/2025;7;20,0%;21,80 €;18,17 €
Articles Divers Logista 20%;30/5/2025;3;20,0%;37,00 €;30,83 €
Bar 10%;30/5/2025;157;10,0%;287,60 €;261,36 €
Bar 20%;30/5/2025;187;20,0%;580,50 €;483,79 €
Boissons à emporter;30/5/2025;5;5,5%;12,50 €;11,85 €
Briquets;30/5/2025;5;20,0%;9,10 €;7,59 €
Chewing Gum;30/5/2025;5;20,0%;10,50 €;8,75 €
Cigarettes Electroniques;30/5/2025;1;20,0%;4,80 €;4,00 €
Confiserie 5,5%;30/5/2025;2;5,5%;2,20 €;2,09 €
Jeux instantanés;30/5/2025;277;0,0%;1 063,00 €;1 063,00 €
Loto;30/5/2025;103;0,0%;913,90 €;913,90 €
MONETIQUE 0 %;30/5/2025;3;0,0%;35,00 €;35,00 €
Papier tubes et filtres;30/5/2025;69;20,0%;121,50 €;101,28 €
Tabac;30/5/2025;427;0,0%;6 003,15 €;6 003,15 €
TELEPHONIE 20.00 %;30/5/2025;1;20,0%;20,00 €;16,67 €
Accessoires fumeurs;31/5/2025;11;20,0%;29,40 €;24,49 €
Articles Divers Logista 20%;31/5/2025;13;20,0%;116,00 €;96,67 €
Bar 10%;31/5/2025;157;10,0%;253,50 €;230,28 €
Bar 20%;31/5/2025;216;20,0%;518,40 €;432,01 €
Boissons à emporter;31/5/2025;9;5,5%;22,50 €;21,33 €
Briquets;31/5/2025;6;20,0%;10,50 €;8,77 €
Chewing Gum;31/5/2025;6;20,0%;14,00 €;11,67 €
Confiserie 20%;31/5/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;31/5/2025;5;5,5%;9,70 €;9,21 €
Jeux instantanés;31/5/2025;232;0,0%;937,00 €;937,00 €
Loto;31/5/2025;79;0,0%;945,80 €;945,80 €
MONETIQUE 0 %;31/5/2025;4;0,0%;70,00 €;70,00 €
Papier tubes et filtres;31/5/2025;56;20,0%;94,90 €;79,13 €
Tabac;31/5/2025;410;0,0%;5 535,30 €;5 535,30 €
Timbres poste;31/5/2025;3;0,0%;19,46 €;19,46 €
Accessoires fumeurs;1/6/2025;5;20,0%;13,70 €;11,42 €
Articles Divers Logista 20%;1/6/2025;4;20,0%;47,00 €;39,16 €
Bar 10%;1/6/2025;161;10,0%;274,60 €;249,51 €
Bar 20%;1/6/2025;190;20,0%;467,00 €;389,15 €
Boissons à emporter;1/6/2025;19;5,5%;44,50 €;42,18 €
Briquets;1/6/2025;5;20,0%;9,10 €;7,60 €
Confiserie 20%;1/6/2025;1;20,0%;1,70 €;1,42 €
Confiserie 5,5%;1/6/2025;5;5,5%;9,00 €;8,54 €
Jeux instantanés;1/6/2025;210;0,0%;844,00 €;844,00 €
Loto;1/6/2025;58;0,0%;1 156,20 €;1 156,20 €
MONETIQUE 0 %;1/6/2025;1;0,0%;10,00 €;10,00 €
Papier tubes et filtres;1/6/2025;34;20,0%;66,60 €;55,51 €
Tabac;1/6/2025;276;0,0%;3 730,30 €;3 730,30 €
TELEPHONIE 20.00 %;1/6/2025;1;20,0%;19,99 €;16,66 €
Timbres poste;1/6/2025;2;0,0%;18,07 €;18,07 €
 paiement proximite;2/6/2025;5;0,0%;670,26 €;670,26 €
